game,percent.training.sessions.attended,overall.fitness.score,X..extra.strategy.sessions.attended,hours.of.sleep.the.night.before.game,X..meals.on.day.prior.to.game,west coast,evening,morning,early bird,baseball,basketball,curling,football,frisbee,gymnastics,martial arts,frosh,junior,senior
1,17.73301286,17.06834817,12.71823056,6.95012043,11.65432349,3.437830957,3.018219402,1.694790069,1.218508573,1.855062948,1.701264146,1.914234477,1.669601342,1.863563141,1.577138445,1.749754335,1.718953104,2.23865471,2.480056064
2,5.05201624,5.210105891,5.502806498,4.798365324,8.682982478,3.391658033,1.379827449,1.185305353,1.224790234,1.749595019,1.416185627,1.889813469,1.627327453,1.721370877,1.42847322,1.622594416,1.630438257,2.025505695,2.003296333
3,3.908546581,3.667204162,4.717746534,4.369539862,8.328309696,3.369484999,1.266562142,1.092728282,1.220847978,1.722775173,1.383099701,1.873254181,1.616785657,1.665003757,1.388294979,1.58954779,1.599027972,1.988088869,1.925926867
4,3.361449932,3.351978948,4.335177199,4.066356513,7.900248448,3.371015118,1.238734897,1.155849156,1.223050265,1.697792873,1.358232791,1.881990253,1.628693346,1.653052182,1.373605111,1.607400797,1.577958679,1.965570761,1.877754501
5,3.094107312,3.14745945,4.107269989,3.945752852,7.563614991,3.3455233,1.212185969,1.132235032,1.221136319,1.687487075,1.357208185,1.875576542,1.623975946,1.655844389,1.36543984,1.625926794,1.560010234,1.977795566,1.859274067
6,1.12535699,1.173022917,1.142573022,1.11900612,1.218010359,24.89291537,1.067034496,1.056055976,1.011022395,1.62349676,1.433747657,1.743557275,1.617568507,1.628034924,1.353361288,1.693063129,1.332363902,1.44270458,1.544954347
7,1.090366537,1.151586733,1.100473101,1.104620034,1.202075017,24.91892588,1.02807952,1.037414769,1.010382744,1.615755968,1.440327693,1.746877675,1.613872606,1.635866995,1.357153067,1.686010244,1.339190856,1.430751571,1.522170862
8,1.073046538,1.131305634,1.098149178,1.10964198,1.192609931,25.19394125,1.044824172,1.046878938,1.010759141,1.621246168,1.423598516,1.749137046,1.607922621,1.626496087,1.344946729,1.675420685,1.329469209,1.431323543,1.517174493
9,1.060283206,1.09939667,1.079242539,1.096906127,1.179590165,25.24067114,1.0471833,1.049019498,1.009208495,1.624804466,1.417338709,1.750531186,1.607898445,1.621058445,1.34619694,1.675127876,1.327727038,1.42714958,1.492089072
10,1.050385424,1.095135081,1.068525632,1.07714284,1.175584328,25.29015955,1.036626273,1.030475081,1.009399956,1.620876507,1.410758799,1.762543296,1.608347686,1.621065116,1.347024074,1.67898891,1.342249697,1.441571613,1.474139549
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,S,,,,,,,,,,,,
